file,error,schema_version,race_date,race_time_local,venue,race_number,race_code,race_class,distance_m,runner_count,level_depth_k,market_id,commission_rate,total_snapshots,pre_race_snapshots,in_play_snapshots,pre_race_duration_secs,avg_snapshot_interval_secs,secs_to_off_at_capture_start,secs_to_off_at_last_pre_race,pre_race_window_secs,total_matched_at_start,total_matched_at_off,total_matched_final,liquidity_growth_ratio,fav_runner_idx,fav_price_start,fav_price_end,fav_price_drift_pct,fav_spread_pct_mean,fav_spread_pct_max,fav_traded_vol_total,ob_imbalance_mean_std,ob_imbalance_max_std,microprice_null_rate_mean,mean_ret_std_5s,field_spread_pct_mean,field_spread_pct_median,track_surface_null_rate,track_condition_null_rate,prob_implied_null_rate,secs_since_last_trade_null_rate,back_overround_mean,back_overround_final,lay_overround_mean,result_closed,result_winner_idx,result_winner_selids,winner_was_favourite,checks_passed,checks_total,is_suitable
2025-10-27_Ararat_Race4_1.249642781.parquet,,1.2.0,2025-10-27,08:45:00,Ararat,4,Harness,Pace,1790.0,8,3,1.249642781,0.05,45,0,45,0.0,,,,0.0,33711.0,,36806.0,1.09,,,,,,,,,,,,,,1.0,1.0,,,,,,1,4.0,78047792,,2,9,False
2025-10-29_Bendigo_Race7_1.249697941.parquet,,1.2.0,2025-10-29,05:20:00,Bendigo,7,Flat,,2400.0,14,3,1.249697941,0.05,561,561,0,750.1,1.34,658.9,-91.2,750.1,63487.0,328287.0,328287.0,5.17,5.0,3.6,3.65,1.39,1.53,3.08,122808.0,0.2113,0.2899,0.0,0.005424,6.46,4.76,1.0,1.0,0.0,0.0,102.01,102.12,98.66,1,3.0,90457623,0.0,9,9,True
2025-10-29_Doomben_Race4_1.249696373.parquet,,1.2.0,2025-10-29,04:53:00,Doomben,4,Flat,,1660.0,9,3,1.249696373,0.05,35,0,35,0.0,,,,0.0,130443.0,,130443.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1,0.0,2088794,,2,9,False
2025-10-29_MurrayBridge_Race4_1.249695848.parquet,,1.2.0,2025-10-29,05:00:00,Murray Bridge,4,Flat,,2000.0,11,3,1.249695848,0.05,205,19,186,24.0,1.33,-38.5,-62.5,24.0,63905.0,71280.0,79377.0,1.24,5.0,3.7,3.65,1.35,1.81,2.78,25178.0,0.1463,0.3631,0.0,0.00567,4.75,3.85,1.0,1.0,0.0,0.0,101.67,102.05,98.2,1,8.0,89392318,0.0,7,9,False
2025-10-29_Rosehill_Race3_1.249698338.parquet,,1.2.0,2025-10-29,05:10:00,Rosehill,3,Flat,,1500.0,8,3,1.249698338,0.05,444,309,135,411.0,1.33,378.1,-32.9,411.0,17212.0,104232.0,113159.0,6.57,4.0,2.4,2.64,10.0,1.58,5.04,53553.0,0.2366,0.3943,0.25,0.00581,6.31,4.76,1.0,1.0,0.25,0.25,101.38,101.85,98.23,1,3.0,2280864,0.0,9,9,True
2025-10-30_Ballarat_Race5_1.249828368.parquet,,1.2.0,2025-10-30,09:07:00,Ballarat,5,Harness,Pace,1710.0,9,3,1.249828368,0.05,736,549,187,731.2,1.33,658.6,-72.6,731.2,584.0,28296.0,33108.0,56.69,8.0,3.8,4.3,13.16,8.56,31.58,5683.0,0.2748,0.5003,0.0002,0.005346,25.72,10.53,1.0,1.0,0.0,0.0,104.04,102.6,94.12,1,3.0,75674456,0.0,8,9,False
2025-10-30_Ballarat_Race6_1.249828370.parquet,,1.2.0,2025-10-30,09:45:00,Ballarat,6,Harness,Pace,1710.0,9,3,1.249828370,0.05,542,542,0,721.8,1.33,658.6,-63.2,721.8,367.0,24319.0,24319.0,66.26,8.0,1.5,1.35,10.0,1.95,6.8,19284.0,0.2981,0.5145,0.0209,0.005486,36.2,27.27,1.0,1.0,0.0,0.0,103.63,102.0,97.22,1,8.0,85745170,1.0,9,9,True
2025-10-30_Ballarat_Race7_1.249828372.parquet,,1.2.0,2025-10-30,10:15:00,Ballarat,7,Harness,Pace,1710.0,9,3,1.249828372,0.05,713,530,183,706.9,1.34,658.6,-48.3,706.9,718.0,23097.0,27613.0,38.46,2.0,1.6,1.79,11.87,4.12,12.5,14756.0,0.2513,0.3708,0.0,0.006207,49.94,31.25,1.0,1.0,0.0,0.0,104.49,102.19,94.65,1,2.0,86655345,1.0,9,9,True
2025-10-30_Northam_Race1_1.249753574.parquet,,1.2.0,2025-10-30,05:47:00,Northam,1,Flat,,1000.0,9,3,1.249753574,0.05,299,299,0,397.7,1.33,302.5,-95.2,397.7,10822.0,70046.0,70046.0,6.47,4.0,2.52,2.86,13.49,1.39,5.98,33564.0,0.2321,0.3134,0.0,0.007465,18.52,9.09,1.0,1.0,0.0,0.0,101.78,104.37,98.42,1,5.0,90485020,0.0,9,9,True
2025-10-30_Northam_Race4_1.249753589.parquet,,1.2.0,2025-10-30,07:35:00,Northam,4,Flat,,1400.0,14,3,1.249753589,0.05,406,406,0,540.5,1.33,658.6,118.1,540.5,12431.0,28195.0,28195.0,2.27,8.0,2.1,2.12,0.95,1.26,1.92,11468.0,0.1956,0.3029,0.0,0.004384,28.24,14.58,1.0,1.0,0.0,0.0,102.39,101.94,98.29,1,6.0,69067384,0.0,8,9,False
