Episode,Step,Balance,Num_Trades,Realized_PnL,Green_Up_PnL,Commission_Paid,Commission_Rate,No_Trade_Streak,No_Trade_Penalty,Had_Trades,Max_Drawdown,MTM_Reward,Sharpe_Reward,Depth_Violations,Volatility_Violations,Stale_Market_Violations,Suspended_Violations,Back_Trades,Lay_Trades,Back_Exposure,Lay_Exposure,Mid_Race_PnL
1,749,618.25024,401,-381.74976,-381.74976,2.4470499,0.05,0,0.0,True,38.174976,-0.85221905,-1.469091564565897,240,108,638,0,178,223,1623.9287,4735.106,-83.66366
2,1299,1066.6957,829,66.69568,66.69568,20.083088,0.05,0,0.0,True,-6.6695676,-2.0955997,-2.16621294103563,619,116,2731,0,214,615,2376.1956,20071.025,-302.288
3,1839,960.5584,18,-39.44159,-39.44159,0.0,0.05,0,0.0,True,3.944159,-0.06678154,-0.2817498027149327,88,106,597,1,1,17,7.244346,996.1868,0.0
4,2493,995.342,18,-4.65802,-4.65802,0.26754352,0.05,0,0.0,True,0.465802,-0.021845026,-0.16838593594729903,18,70,445,1,4,14,134.322,1058.6813,-0.33868924
5,3013,972.22046,30,-27.779541,-27.779541,0.56642824,0.05,0,0.0,True,2.777954,-0.28356004,-0.21447646968066691,23,65,1126,0,5,25,20.899612,1401.6766,-20.012165
6,3577,872.0499,486,-127.95007,-127.95007,1.1514549,0.05,0,0.0,True,12.795008,-0.7096456,-1.533407518617971,236,131,1747,1,199,287,854.39514,3936.2131,-81.986885
7,3734,965.9191,50,-34.08087,-34.08087,0.38927716,0.05,0,0.0,True,3.408087,-0.045378745,-0.2970988081395625,34,139,78,0,17,33,89.726715,1720.6038,-2.912027
8,4275,978.2444,10,-21.755615,-21.755615,0.25457096631015275,0.05,0,0.0,True,2.1755614,-0.12959385,-0.14354953491755965,9,75,1780,0,2,8,35.22685,997.41345,0.0
9,4831,963.91504,150,-36.08496,-36.08496,0.38891122,0.05,0,0.0,True,3.6084962,-0.09916447,-0.48873699254404523,38,137,1035,0,40,110,273.34354,2567.1238,-11.1634445
10,5366,979.8749,54,-20.125122,-20.125122,0.027530096,0.05,0,0.0,True,2.0125122,-0.060203843,-0.23601702295243737,25,87,814,0,17,37,105.59362,1520.1738,-2.0784423
11,5970,951.64124,54,-48.358765,-48.358765,1.0044922,0.05,0,0.0,True,4.8358765,-0.061581604,-0.28621665507555,14,91,0,1,25,29,557.9557,839.544,-1.5538512
12,6568,995.35406,11,-4.645935,-4.645935,0.4064921,0.05,0,0.0,True,0.46459353,-0.112952515,-0.16301078714430325,9,111,1236,0,0,11,0.0,1065.3041,0.0
13,7083,995.1956,23,-4.8043823,-4.8043823,0.15136507,0.05,0,0.0,True,0.4804382,-0.025449505,-0.25666060805320734,41,159,199,0,6,17,62.014313,995.7475,-1.2331185
14,7585,919.2961,12,-80.70392,-80.70392,0.009188979,0.05,0,0.0,True,8.070393,-0.09075623,-0.19047224156558515,33,64,3305,1,0,12,0.0,1230.4888,0.0
15,8095,971.41296,111,-28.587036,-28.587036,0.31092456,0.05,0,0.0,True,2.8587036,-0.060323805,-0.5831497664749624,56,109,186,0,31,80,294.84906,2541.7542,-8.945589
16,8635,967.7155,12,-32.284485,-32.284485,0.80399966,0.05,0,0.0,True,3.2284484,-0.13612387,-0.18833522444105188,51,108,1309,0,1,11,37.40215,991.7129,-0.6523454
17,9215,845.44653,46,-154.55347,-154.55347,0.042256523,0.05,0,0.0,True,15.455347,-1.0360706,-0.30787209898233425,27,52,3098,1,17,29,193.60649,1797.6644,-107.65764
18,9757,987.7862,179,-12.213806,-12.213806,2.2585013,0.05,0,0.0,True,1.2213806,-0.25582272,-0.6011216652393339,23,105,570,0,85,94,293.46515,1196.5492,-5.092844
19,9931,977.868,280,-22.132019,-22.132019,0.08849584,0.05,0,0.0,True,2.2132018,-0.15104242,-0.7890324452519418,77,5,607,1,115,165,162.85054,2612.7676,-8.086793
20,10468,1028.6346,386,28.634644,28.634644,2.573129,0.05,0,0.0,True,-2.8634644,-0.14680678,-0.8448602151125671,19,17,615,1,163,223,410.0181,1428.1663,-7.6574388
21,10973,979.46606,109,-20.533936,-20.533936,0.07912758,0.05,0,0.0,True,2.0533936,-0.072189465,-0.43274821527302243,46,32,1385,1,33,76,53.831104,1285.1669,-4.3420863
22,11501,995.9356,20,-4.064392,-4.064392,2.0338717,0.05,0,0.0,True,0.40643924,-0.38118476,-0.24579715214669715,34,76,2285,0,6,14,266.7065,927.2656,-17.507996
23,12045,995.59247,10,-4.4075317,-4.4075317,0.19601332,0.05,0,0.0,True,0.44075316,-0.018426256,-0.12931544850667034,20,25,314,1,1,9,18.819542,1053.1904,0.0
24,12585,956.31824,30,-43.681763,-43.681763,0.0048806523,0.05,0,0.0,True,4.3681765,-0.07344752,-0.23828201076030933,30,133,901,0,13,17,26.16446,1045.1158,-1.4367615
25,13134,945.12134,43,-54.878662,-54.878662,0.0,0.05,0,0.0,True,5.4878664,-0.095445134,-0.33901749665137854,125,28,464,0,4,39,23.093967,1429.2,-9.797751
26,13695,935.77814,54,-64.22186,-64.22186,0.23950563,0.05,0,0.0,True,6.422187,-0.17043035,-0.3155563919246197,34,75,1185,1,14,40,144.0199,1329.9756,-10.068994
27,14215,994.07227,15,-5.9277344,-5.9277344,0.026417743,0.05,0,0.0,True,0.59277344,-0.014170266,-0.23856249570846558,34,93,506,1,1,14,8.962881,1007.469,0.0
28,14703,900.99005,28,-99.00995,-99.00995,0.15042916,0.05,0,0.0,True,9.900994,-0.41925418,-0.26170123830437664,14,68,815,1,7,21,176.77373,1319.8556,-39.51978
29,15226,1000.2303,22,0.23028564,0.23028564,0.3649389,0.05,0,0.0,True,-0.023028564,-0.06460978,-0.21250012679269853,22,35,1259,0,8,14,26.83421384347794,1007.62506,-1.6929391304347525
30,15980,1000.0256,19,0.02557373,0.02557373,0.15124305,0.05,0,0.0,True,-0.0025573731,-0.008199686,-0.1532927271136773,11,84,52,0,6,13,15.68757,988.2175,0.0
31,16464,999.2014,9,-0.798584,-0.798584,0.054925196,0.05,0,0.0,True,0.07985839,-0.007075429,-0.1597437775880099,17,39,835,1,0,9,0.0,1065.0448,0.0
32,17045,232.69928,157,-767.3007,-767.3007,0.0,0.05,0,0.0,True,76.73007,-2.7100828,-0.6304413249343636,46,105,2096,0,104,53,1049.4302,1020.0681,-39.997948
33,17564,995.05676,12,-4.9432373,-4.9432373,0.08571144,0.05,0,0.0,True,0.49432373,-0.010483135,-0.2651035507186454,59,43,143,1,0,12,0.0,1026.6743,0.0
34,18109,968.60406,20,-31.395935,-31.395935,0.035427064,0.05,0,0.0,True,3.1395934,-0.057305884,-0.24610593598420827,39,90,1100,1,3,17,11.5078945,1009.41943,0.0
